Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1723928k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
44.322: [GC (Allocation Failure) 44.322: [ParNew: 81881K->1160K(92160K), 0.0025894 secs] 81881K->1160K(194560K), 0.0027948 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
61.398: [GC (Allocation Failure) 61.398: [ParNew: 83028K->1185K(92160K), 0.0030505 secs] 83028K->1185K(194560K), 0.0032349 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
77.456: [GC (Allocation Failure) 77.456: [ParNew: 83019K->1256K(92160K), 0.0025594 secs] 83019K->1256K(194560K), 0.0028290 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
93.528: [GC (Allocation Failure) 93.528: [ParNew: 83160K->1403K(92160K), 0.0025427 secs] 83160K->1403K(194560K), 0.0027498 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
109.582: [GC (Allocation Failure) 109.582: [ParNew: 83323K->1329K(92160K), 0.0029904 secs] 83323K->1329K(194560K), 0.0032375 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
125.643: [GC (Allocation Failure) 125.643: [ParNew: 83249K->1309K(92160K), 0.0026144 secs] 83249K->1309K(194560K), 0.0027459 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
142.703: [GC (Allocation Failure) 142.703: [ParNew: 83229K->1195K(92160K), 0.0010754 secs] 83229K->1195K(194560K), 0.0012020 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
158.771: [GC (Allocation Failure) 158.771: [ParNew: 83115K->1346K(92160K), 0.0035260 secs] 83115K->1346K(194560K), 0.0037591 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
174.838: [GC (Allocation Failure) 174.838: [ParNew: 83266K->1214K(92160K), 0.0022664 secs] 83266K->1214K(194560K), 0.0024839 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
190.900: [GC (Allocation Failure) 190.900: [ParNew: 83134K->1318K(92160K), 0.0025388 secs] 83134K->1318K(194560K), 0.0027620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
206.952: [GC (Allocation Failure) 206.952: [ParNew: 83238K->1207K(92160K), 0.0038540 secs] 83238K->1207K(194560K), 0.0040800 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
223.018: [GC (Allocation Failure) 223.018: [ParNew: 83127K->1097K(92160K), 0.0027256 secs] 83127K->1097K(194560K), 0.0028783 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
239.082: [GC (Allocation Failure) 239.082: [ParNew: 83017K->1263K(92160K), 0.0022372 secs] 83017K->1263K(194560K), 0.0023988 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
256.146: [GC (Allocation Failure) 256.147: [ParNew: 83183K->1146K(92160K), 0.0023843 secs] 83183K->1146K(194560K), 0.0026468 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
272.212: [GC (Allocation Failure) 272.212: [ParNew: 82966K->1143K(92160K), 0.0026103 secs] 82966K->1143K(194560K), 0.0028473 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
288.277: [GC (Allocation Failure) 288.277: [ParNew: 83063K->0K(92160K), 0.0099063 secs] 83063K->907K(194560K), 0.0100441 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
304.353: [GC (Allocation Failure) 304.353: [ParNew: 81920K->0K(92160K), 0.0015052 secs] 82827K->907K(194560K), 0.0016987 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
320.424: [GC (Allocation Failure) 320.424: [ParNew: 81920K->0K(92160K), 0.0013381 secs] 82827K->907K(194560K), 0.0015644 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
336.497: [GC (Allocation Failure) 336.497: [ParNew: 81920K->0K(92160K), 0.0013588 secs] 82827K->907K(194560K), 0.0015772 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
353.577: [GC (Allocation Failure) 353.577: [ParNew: 81920K->0K(92160K), 0.0013472 secs] 82827K->907K(194560K), 0.0016048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
369.655: [GC (Allocation Failure) 369.655: [ParNew: 81920K->0K(92160K), 0.0013361 secs] 82827K->907K(194560K), 0.0015129 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
385.738: [GC (Allocation Failure) 385.738: [ParNew: 81920K->0K(92160K), 0.0012946 secs] 82827K->907K(194560K), 0.0015366 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
401.808: [GC (Allocation Failure) 401.808: [ParNew: 81920K->0K(92160K), 0.0013351 secs] 82827K->907K(194560K), 0.0015569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
417.873: [GC (Allocation Failure) 417.873: [ParNew: 81920K->0K(92160K), 0.0005604 secs] 82827K->907K(194560K), 0.0006222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
433.936: [GC (Allocation Failure) 433.936: [ParNew: 81920K->0K(92160K), 0.0012120 secs] 82827K->907K(194560K), 0.0014134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
451.018: [GC (Allocation Failure) 451.018: [ParNew: 81920K->0K(92160K), 0.0013207 secs] 82827K->907K(194560K), 0.0015564 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
468.140: [GC (Allocation Failure) 468.817: [ParNew: 81920K->0K(92160K), 0.0204540 secs] 82827K->907K(194560K), 0.6977593 secs] [Times: user=0.01 sys=0.00, real=0.70 secs] 
484.904: [GC (Allocation Failure) 484.904: [ParNew: 81920K->0K(92160K), 0.0014503 secs] 82827K->907K(194560K), 0.0017150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
500.974: [GC (Allocation Failure) 500.974: [ParNew: 81920K->0K(92160K), 0.0013022 secs] 82827K->907K(194560K), 0.0015188 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
517.040: [GC (Allocation Failure) 517.040: [ParNew: 81920K->0K(92160K), 0.0005008 secs] 82827K->907K(194560K), 0.0006003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
533.108: [GC (Allocation Failure) 533.108: [ParNew: 81920K->0K(92160K), 0.0012037 secs] 82827K->907K(194560K), 0.0014703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
549.180: [GC (Allocation Failure) 549.180: [ParNew: 81920K->0K(92160K), 0.0009563 secs] 82827K->907K(194560K), 0.0011380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
566.255: [GC (Allocation Failure) 566.255: [ParNew: 81920K->0K(92160K), 0.0014630 secs] 82827K->907K(194560K), 0.0017050 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
582.326: [GC (Allocation Failure) 582.326: [ParNew: 81920K->0K(92160K), 0.0009742 secs] 82827K->907K(194560K), 0.0010837 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
598.407: [GC (Allocation Failure) 598.407: [ParNew: 81920K->0K(92160K), 0.0014656 secs] 82827K->907K(194560K), 0.0016992 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
614.469: [GC (Allocation Failure) 614.470: [ParNew: 81920K->0K(92160K), 0.0022817 secs] 82827K->907K(194560K), 0.0025130 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
630.533: [GC (Allocation Failure) 630.533: [ParNew: 81920K->0K(92160K), 0.0020085 secs] 82827K->907K(194560K), 0.0022059 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
646.598: [GC (Allocation Failure) 646.598: [ParNew: 81920K->0K(92160K), 0.0013729 secs] 82827K->907K(194560K), 0.0015868 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
663.658: [GC (Allocation Failure) 663.658: [ParNew: 81920K->0K(92160K), 0.0014416 secs] 82827K->907K(194560K), 0.0016737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
679.709: [GC (Allocation Failure) 679.709: [ParNew: 81920K->0K(92160K), 0.0036950 secs] 82827K->907K(194560K), 0.0039305 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
695.776: [GC (Allocation Failure) 695.776: [ParNew: 81920K->0K(92160K), 0.0003640 secs] 82827K->907K(194560K), 0.0004624 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
711.831: [GC (Allocation Failure) 711.831: [ParNew: 81920K->0K(92160K), 0.0013763 secs] 82827K->907K(194560K), 0.0016179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
727.884: [GC (Allocation Failure) 727.884: [ParNew: 81920K->0K(92160K), 0.0009577 secs] 82827K->907K(194560K), 0.0011214 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
743.944: [GC (Allocation Failure) 743.944: [ParNew: 81920K->0K(92160K), 0.0012674 secs] 82827K->907K(194560K), 0.0015249 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
761.012: [GC (Allocation Failure) 761.012: [ParNew: 81920K->0K(92160K), 0.0013757 secs] 82827K->907K(194560K), 0.0015773 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
777.073: [GC (Allocation Failure) 777.073: [ParNew: 81920K->0K(92160K), 0.0028291 secs] 82827K->907K(194560K), 0.0030165 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
793.135: [GC (Allocation Failure) 793.135: [ParNew: 81920K->0K(92160K), 0.0016665 secs] 82827K->907K(194560K), 0.0018776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
809.192: [GC (Allocation Failure) 809.192: [ParNew: 81820K->0K(92160K), 0.0033899 secs] 82727K->907K(194560K), 0.0037540 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
825.257: [GC (Allocation Failure) 825.258: [ParNew: 81860K->0K(92160K), 0.0019380 secs] 82768K->907K(194560K), 0.0020665 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
842.315: [GC (Allocation Failure) 842.315: [ParNew: 81836K->0K(92160K), 0.0013286 secs] 82743K->907K(194560K), 0.0015633 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
858.386: [GC (Allocation Failure) 858.386: [ParNew: 81888K->0K(92160K), 0.0019857 secs] 82796K->907K(194560K), 0.0021578 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
874.456: [GC (Allocation Failure) 874.456: [ParNew: 81888K->0K(92160K), 0.0009720 secs] 82796K->907K(194560K), 0.0010545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
891.515: [GC (Allocation Failure) 891.515: [ParNew: 81920K->0K(92160K), 0.0010356 secs] 82827K->907K(194560K), 0.0011353 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
907.574: [GC (Allocation Failure) 907.574: [ParNew: 81844K->0K(92160K), 0.0025708 secs] 82751K->907K(194560K), 0.0027684 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
923.638: [GC (Allocation Failure) 923.638: [ParNew: 81845K->0K(92160K), 0.0022657 secs] 82752K->907K(194560K), 0.0024128 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
940.699: [GC (Allocation Failure) 940.699: [ParNew: 81914K->0K(92160K), 0.0021071 secs] 82822K->907K(194560K), 0.0022709 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
956.750: [GC (Allocation Failure) 956.750: [ParNew: 81916K->0K(92160K), 0.0012452 secs] 82824K->907K(194560K), 0.0014798 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
972.812: [GC (Allocation Failure) 972.812: [ParNew: 81918K->0K(92160K), 0.0008846 secs] 82825K->907K(194560K), 0.0010437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
